id,pnr,pasajero_id,vuelo_id,asiento,estado_ticket,fecha_emision
40,J37CZ1,389,1,22D,CONFIRMADO,2025-10-25 23:24:53
41,U5G6EN,442,1,5E,CONFIRMADO,2025-11-05 05:24:53
42,OJ8EL9,62,1,23F,CONFIRMADO,2025-10-23 20:24:53
43,1ZWQTU,297,1,21B,CONFIRMADO,2025-10-31 06:24:53
44,02U428,467,1,18A,CONFIRMADO,2025-11-08 11:24:53
45,16C6ZW,83,1,14E,CONFIRMADO,2025-10-27 21:24:53
46,ZWTB5O,8,1,7E,CONFIRMADO,2025-10-16 05:24:53
47,E5HVRA,268,1,26D,CONFIRMADO,2025-10-18 04:24:53
48,BRQCZ4,150,1,4A,CONFIRMADO,2025-11-07 07:24:53
49,XV0LAE,281,1,19A,EMITIDO,2025-11-11 22:24:53
50,J72FH5,398,1,19E,CONFIRMADO,2025-10-18 02:24:53
51,O9TG0R,406,1,26C,CONFIRMADO,2025-10-16 19:24:53
52,3S6TZ2,254,1,16E,CONFIRMADO,2025-11-11 22:24:53
53,SJ2W8Q,143,1,23A,CONFIRMADO,2025-10-23 16:24:53
54,94SK4P,405,1,4E,CONFIRMADO,2025-11-12 14:24:53
55,HAFZ4G,156,1,15E,CONFIRMADO,2025-10-19 10:24:53
56,M5CV0B,184,1,19F,CONFIRMADO,2025-10-28 05:24:53
57,EKGO54,450,1,3A,EMITIDO,2025-10-27 05:24:53
58,KY24HR,479,1,9D,CONFIRMADO,2025-10-26 05:24:53
59,K63OWO,172,1,7C,CONFIRMADO,2025-10-16 08:24:53
60,0P0T61,259,1,20F,CONFIRMADO,2025-10-15 09:24:53
61,73W5UD,476,1,17B,CONFIRMADO,2025-10-16 02:24:53
62,DUZ2HZ,309,1,5F,CONFIRMADO,2025-11-03 17:24:53
63,5UUGQH,388,1,11A,CONFIRMADO,2025-10-27 15:24:53
64,WKCY05,32,1,21F,EMITIDO,2025-10-17 11:24:53
65,417VC6,417,1,19D,CONFIRMADO,2025-10-24 22:24:53
66,SH6WCC,468,1,8A,CONFIRMADO,2025-10-19 03:24:53
67,5M309Y,286,1,20A,CONFIRMADO,2025-10-29 19:24:53
68,QKGVK9,209,1,24B,CONFIRMADO,2025-10-28 18:24:53
69,C3XLQ9,193,1,12F,CONFIRMADO,2025-10-20 14:24:53
70,RNSXXW,12,1,14A,CONFIRMADO,2025-11-01 13:24:53
71,1PNLU5,342,1,26B,CONFIRMADO,2025-10-24 14:24:53
72,2ZQBQ1,458,1,21A,CONFIRMADO,2025-11-06 21:24:53
73,8CR07Y,449,1,4D,EMITIDO,2025-10-30 00:24:53
74,PZU9Q0,358,1,15C,CONFIRMADO,2025-11-03 13:24:53
75,PSO2SX,314,1,5A,CONFIRMADO,2025-11-14 05:24:53
76,7S801I,411,1,21E,CONFIRMADO,2025-10-25 15:24:53
77,XORTEU,438,1,12E,CONFIRMADO,2025-10-15 08:24:53
78,2XQOT3,95,1,25D,CONFIRMADO,2025-11-12 11:24:53
79,Q2FB6H,244,1,16C,CONFIRMADO,2025-11-02 14:24:53
80,ILDCNU,89,1,25E,CONFIRMADO,2025-11-04 10:24:53
81,QIZL1X,318,1,7B,CONFIRMADO,2025-11-06 07:24:53
82,WZ7L3I,106,1,13B,EMITIDO,2025-10-27 18:24:53
83,57BFMW,486,1,10A,CONFIRMADO,2025-11-14 04:24:53
84,GF5V7W,214,1,23E,EMITIDO,2025-10-22 01:24:53
85,HD6PXE,180,1,1E,CONFIRMADO,2025-10-31 00:24:53
86,SUDVER,431,1,11C,CONFIRMADO,2025-11-12 03:24:53
87,ZEGIOB,344,1,7A,CONFIRMADO,2025-11-10 05:24:53
88,8Y5HMY,10,1,18C,CONFIRMADO,2025-10-16 13:24:53
89,TYSLXY,331,1,16A,CONFIRMADO,2025-11-12 06:24:53
90,9AMAS2,82,1,8F,CANCELADO,2025-11-07 15:24:53
91,2E354N,173,1,14C,CONFIRMADO,2025-11-12 00:24:53
92,52TOJQ,322,1,15B,CONFIRMADO,2025-11-05 03:24:53
93,GH2BGX,326,1,15F,CONFIRMADO,2025-10-18 23:24:53
94,R1A5FS,448,1,13C,CANCELADO,2025-11-01 10:24:53
95,RPG962,198,1,13F,CONFIRMADO,2025-11-13 00:24:53
96,BYE68G,323,1,19C,CONFIRMADO,2025-10-30 23:24:53
97,XK2Q9N,227,1,10D,CONFIRMADO,2025-10-22 14:24:53
98,6GGVZA,90,1,24E,EMITIDO,2025-11-09 16:24:53
99,LXJOPT,196,1,1F,CONFIRMADO,2025-10-17 05:24:53
100,5OVV0K,3,1,6C,EMITIDO,2025-10-27 11:24:53
101,UC56CT,71,1,11B,CONFIRMADO,2025-10-28 09:24:53
102,NPPXUE,303,1,17C,EMITIDO,2025-10-16 02:24:53
103,3EPPV4,49,1,2E,EMITIDO,2025-10-15 13:24:53
104,KDN52H,195,1,23D,CONFIRMADO,2025-10-30 17:24:53
105,Y0JALA,167,1,9F,EMITIDO,2025-10-29 22:24:53
106,FO3ZLA,66,1,12B,CONFIRMADO,2025-11-10 11:24:53
107,ZB4N7D,280,1,18B,CONFIRMADO,2025-10-15 22:24:53
108,AIH731,60,1,17F,CONFIRMADO,2025-10-21 08:24:53
109,VIGJXL,299,1,25C,CONFIRMADO,2025-11-02 08:24:53
110,E7KFIY,338,1,13E,CONFIRMADO,2025-10-19 03:24:53
111,WSK07E,27,1,7D,CONFIRMADO,2025-10-20 16:24:53
112,1O9MW7,145,1,9B,EMITIDO,2025-11-06 16:24:53
113,YYVWTO,96,1,20C,CONFIRMADO,2025-11-12 07:24:53
114,XO4B67,277,1,12A,CONFIRMADO,2025-11-07 20:24:53
115,GUZOMG,217,1,4F,CONFIRMADO,2025-10-29 22:24:53
116,YZGQZ8,285,1,20E,CONFIRMADO,2025-10-26 05:24:53
117,C8WYAY,477,1,12C,CONFIRMADO,2025-10-17 11:24:53
118,81M1AN,134,1,20B,CONFIRMADO,2025-11-12 19:24:53
119,R10RZU,430,1,8D,EMITIDO,2025-11-06 22:24:53
120,WSRL42,51,1,3C,CONFIRMADO,2025-11-08 20:24:53
121,OLQVV3,127,1,2B,CONFIRMADO,2025-10-24 03:24:53
122,PW5CE7,413,1,18D,CONFIRMADO,2025-10-31 04:24:53
123,DP695Y,289,1,11E,CONFIRMADO,2025-10-23 23:24:53
124,Y2N2L7,41,1,3F,CONFIRMADO,2025-11-07 00:24:53
125,AASZH7,385,1,5C,EMITIDO,2025-10-19 03:24:53
126,GUQOLL,1,1,2F,EMITIDO,2025-10-25 23:24:53
127,LLA97A,495,1,6A,CONFIRMADO,2025-10-31 18:24:53
128,ECDT4K,40,1,21C,CONFIRMADO,2025-10-20 06:24:53
129,8ZPBWN,220,1,24C,EMITIDO,2025-11-13 08:24:53
130,4ZR7PI,369,1,8E,CONFIRMADO,2025-11-02 10:24:53
131,OKL5E4,272,1,23C,CONFIRMADO,2025-11-01 21:24:53
132,I7G4VR,343,2,33A,EMITIDO,2025-10-15 19:24:53
133,TQ44XX,228,2,25B,CANCELADO,2025-10-27 06:24:53
134,J11SD6,459,2,30C,EMITIDO,2025-10-24 15:24:53
135,WTA0LX,198,2,40B,CONFIRMADO,2025-10-19 13:24:53
136,MI9RCW,66,2,14D,CONFIRMADO,2025-11-14 07:24:53
137,M721EC,167,2,26A,CONFIRMADO,2025-10-26 22:24:53
138,W9T4JR,270,2,4F,CONFIRMADO,2025-10-24 12:24:53
139,4XV5Q1,427,2,30D,CONFIRMADO,2025-10-30 14:24:53
140,XLZ2GZ,420,2,21A,CONFIRMADO,2025-10-18 17:24:53
141,6GMQHJ,164,2,21E,EMITIDO,2025-11-01 00:24:53
142,L99X7W,183,2,19A,CANCELADO,2025-11-07 12:24:53
143,B7HKCD,293,2,20E,EMITIDO,2025-11-07 16:24:53
144,7CUTB2,425,2,39B,CONFIRMADO,2025-10-28 19:24:53
145,OGM6HR,193,2,28A,EMITIDO,2025-11-08 11:24:53
146,YSNVLQ,282,2,3F,CONFIRMADO,2025-11-02 03:24:53
147,289SOO,252,2,14A,EMITIDO,2025-10-20 20:24:53
148,RE1LK3,458,2,20C,CONFIRMADO,2025-10-19 15:24:53
149,MGP6CE,136,2,24D,CONFIRMADO,2025-10-27 22:24:53
150,HI9AEC,248,2,22A,EMITIDO,2025-11-04 07:24:53
151,FACSZN,21,2,24C,CONFIRMADO,2025-10-30 23:24:53
152,FNPVDE,89,2,14F,EMITIDO,2025-10-25 09:24:53
153,GGEG9A,428,2,18D,CANCELADO,2025-10-29 07:24:53
154,14JFDF,354,2,41A,CONFIRMADO,2025-10-20 02:24:53
155,DEDNZ1,350,2,28D,EMITIDO,2025-10-20 02:24:53
156,UGID21,175,2,22F,CONFIRMADO,2025-10-23 23:24:53
157,FCREZJ,357,2,37C,CONFIRMADO,2025-11-05 09:24:53
158,QV2NFT,285,2,28F,CONFIRMADO,2025-11-03 01:24:53
159,45LF9V,251,2,37B,EMITIDO,2025-10-20 22:24:53
160,9TI3NS,452,2,7D,CONFIRMADO,2025-11-12 00:24:53
161,VOJOLL,448,2,9A,CONFIRMADO,2025-11-07 12:24:53
162,756ECR,337,2,10A,EMITIDO,2025-10-16 23:24:53
163,GULAI8,399,2,37F,EMITIDO,2025-11-06 12:24:53
164,BSKBAB,330,2,35E,CONFIRMADO,2025-10-27 06:24:53
165,BFVROB,78,2,19B,CONFIRMADO,2025-10-30 16:24:53
166,JFSFZE,388,2,34B,CONFIRMADO,2025-11-11 23:24:53
167,ULQUNB,6,2,4E,CONFIRMADO,2025-10-21 05:24:53
168,JMIFQT,395,2,10B,EMITIDO,2025-10-19 11:24:53
169,M4QX4Q,53,2,16B,CONFIRMADO,2025-10-17 06:24:53
170,FP2857,59,2,29D,CONFIRMADO,2025-10-26 01:24:53
171,S5BC88,406,2,12C,CONFIRMADO,2025-11-12 12:24:53
172,C6UFCE,496,2,27F,EMITIDO,2025-11-07 23:24:53
173,BEVQG5,486,2,11D,CONFIRMADO,2025-11-03 18:24:53
174,RNWQYV,241,2,7C,EMITIDO,2025-11-05 07:24:53
175,6UAMNN,465,2,18C,EMITIDO,2025-11-05 19:24:53
176,MPAW51,478,2,12D,CONFIRMADO,2025-10-16 13:24:53
177,ZM96CY,223,2,23E,EMITIDO,2025-10-28 22:24:53
178,N1KU61,301,2,10C,EMITIDO,2025-10-28 20:24:53
179,6KTRC9,360,2,35B,CANCELADO,2025-11-13 09:24:53
180,M5BJJQ,392,2,25D,CANCELADO,2025-10-29 17:24:53
181,BWF1J8,232,2,1E,CONFIRMADO,2025-11-11 01:24:53
182,G6AV1Z,39,2,38C,EMITIDO,2025-10-18 01:24:53
183,19DG0G,157,2,40A,EMITIDO,2025-11-11 08:24:53
184,ZFOE2K,180,2,4C,EMITIDO,2025-11-13 08:24:53
185,YULB1D,98,2,21B,EMITIDO,2025-11-05 23:24:53
186,T4FKLS,236,2,36B,CONFIRMADO,2025-11-09 16:24:53
187,HKRVUU,210,2,13F,CONFIRMADO,2025-10-23 10:24:53
188,4PXNLR,309,2,13D,CONFIRMADO,2025-10-22 06:24:53
189,3RDNIH,117,2,15A,CONFIRMADO,2025-10-21 06:24:53
190,MCLEF1,488,2,36A,CONFIRMADO,2025-11-07 01:24:53
191,P21VGQ,99,2,11B,CONFIRMADO,2025-11-01 23:24:53
192,XQG2T5,400,2,12A,EMITIDO,2025-11-09 13:24:53
193,ZBHF24,464,2,8A,CONFIRMADO,2025-10-30 18:24:53
194,X4I0DC,415,2,16A,CONFIRMADO,2025-10-30 19:24:53
195,J0KRQO,124,2,32A,EMITIDO,2025-11-05 17:24:53
196,I5XIZA,298,2,17C,CONFIRMADO,2025-11-01 05:24:53
197,NPRH6B,374,2,13C,CONFIRMADO,2025-10-18 11:24:53
198,28W7W5,498,2,16F,EMITIDO,2025-11-12 23:24:53
199,8QHCZN,379,2,9F,EMITIDO,2025-11-13 10:24:53
200,UFRU3B,56,2,14B,CONFIRMADO,2025-10-18 17:24:53
201,GU99XD,37,2,37A,CONFIRMADO,2025-11-02 07:24:53
202,4FULWI,443,2,7A,CONFIRMADO,2025-10-30 22:24:53
203,ANGS4Y,118,2,19C,CONFIRMADO,2025-10-17 19:24:53
204,UDRRFQ,81,2,34C,CONFIRMADO,2025-11-03 01:24:53
205,5NS7UK,469,2,29A,CANCELADO,2025-11-08 23:24:53
206,ALP4QC,31,2,14C,CONFIRMADO,2025-11-11 22:24:53
207,K6UB9O,46,2,1B,CONFIRMADO,2025-10-22 14:24:53
208,87QUWA,97,2,11C,CANCELADO,2025-11-10 18:24:53
209,N8LPMB,26,2,21C,EMITIDO,2025-10-27 17:24:53
210,Y1HI7S,306,2,3B,CONFIRMADO,2025-10-19 04:24:53
211,WZQRLO,368,2,12B,EMITIDO,2025-11-03 12:24:53
212,NRH3ZU,299,2,13E,CONFIRMADO,2025-10-15 09:24:53
213,Q86V8T,325,2,21D,CONFIRMADO,2025-10-24 21:24:53
214,83EC0J,440,2,8E,CONFIRMADO,2025-11-12 07:24:53
215,WCXSX4,260,2,30F,CONFIRMADO,2025-10-29 04:24:53
216,TYIQZK,45,2,41B,CONFIRMADO,2025-11-01 01:24:53
217,0MNBYR,166,2,9B,CONFIRMADO,2025-10-21 22:24:53
218,KMTWJS,33,2,27E,CONFIRMADO,2025-10-23 22:24:53
219,BBREOJ,347,2,22E,EMITIDO,2025-10-21 05:24:53
220,GH7CI4,418,2,37E,CONFIRMADO,2025-10-31 03:24:53
221,6TQGYL,171,2,34E,CONFIRMADO,2025-11-07 10:24:53
222,42E694,479,2,5B,CONFIRMADO,2025-11-01 09:24:53
223,I4HU20,187,2,6A,CONFIRMADO,2025-10-16 13:24:53
224,LJ6JPO,18,2,15F,CONFIRMADO,2025-11-05 04:24:53
225,MOC1R4,475,2,17E,CONFIRMADO,2025-11-09 21:24:53
226,47GBD9,411,2,17F,CONFIRMADO,2025-11-06 20:24:53
227,V01YVJ,245,2,5E,CONFIRMADO,2025-11-05 22:24:53
228,VGQKN0,310,2,36C,CONFIRMADO,2025-11-14 04:24:53
229,N1HNLF,430,2,41C,CONFIRMADO,2025-11-12 17:24:53
230,AH4S1F,137,2,39C,CONFIRMADO,2025-10-31 03:24:53
231,DSQODF,384,2,10E,CONFIRMADO,2025-10-23 03:24:53
232,4X1SLV,35,2,23F,CONFIRMADO,2025-10-15 10:24:53
233,YWLPV9,413,2,38D,EMITIDO,2025-10-23 12:24:53
234,D9NJ7E,466,2,13A,EMITIDO,2025-11-10 19:24:53
235,DAMWPO,450,2,2B,CONFIRMADO,2025-10-22 18:24:53
236,LTLGE8,287,2,6E,EMITIDO,2025-11-08 15:24:53
237,KFQ86M,148,2,24F,EMITIDO,2025-11-02 20:24:53
238,VP3N5A,271,2,35D,CANCELADO,2025-10-27 17:24:53
239,E8BWLZ,493,2,25A,CONFIRMADO,2025-10-26 01:24:53
240,1BXQIO,229,2,30A,CONFIRMADO,2025-11-11 20:24:53
241,WV2JDJ,27,2,3E,EMITIDO,2025-10-18 08:24:53
242,YMXFB4,263,2,17A,CONFIRMADO,2025-10-29 16:24:53
243,Q8XQUT,231,2,20A,EMITIDO,2025-10-27 09:24:53
244,WVJX7D,154,2,19D,CONFIRMADO,2025-11-05 20:24:53
245,8OU19P,426,2,6F,EMITIDO,2025-10-18 02:24:53
246,EXHM1V,362,2,34A,CONFIRMADO,2025-10-25 10:24:53
247,HRBI8V,327,2,20D,EMITIDO,2025-11-12 03:24:53
248,9UDSXG,402,2,6D,CONFIRMADO,2025-10-23 01:24:53
249,BLQ68A,9,2,34F,CONFIRMADO,2025-11-11 04:24:53
250,0JHBGV,156,2,32E,CONFIRMADO,2025-11-11 02:24:53
251,VUWVHT,249,2,25E,CONFIRMADO,2025-10-27 01:24:53
252,Z9H1FU,207,2,28B,EMITIDO,2025-10-26 17:24:53
253,3LDUUB,211,2,16C,CONFIRMADO,2025-10-19 10:24:53
254,LS7A45,483,2,9E,CONFIRMADO,2025-11-01 21:24:53
255,N09HR9,121,2,20F,CONFIRMADO,2025-10-15 17:24:53
256,GVITTF,405,2,26B,CANCELADO,2025-10-29 19:24:53
257,LHMF3V,364,2,33D,CONFIRMADO,2025-11-07 20:24:53
258,GRNPFH,197,2,11E,CONFIRMADO,2025-10-30 01:24:53
259,BVGKLW,20,2,33F,EMITIDO,2025-11-07 10:24:53
260,FC41OH,134,2,8B,CONFIRMADO,2025-11-07 19:24:53
261,DITQ2L,477,2,5D,EMITIDO,2025-11-09 08:24:53
262,0L1UC1,92,2,4A,CONFIRMADO,2025-11-07 09:24:53
263,UKW9QJ,461,2,39A,EMITIDO,2025-10-31 23:24:53
264,YKSA9F,169,2,17D,CONFIRMADO,2025-10-25 23:24:53
265,8QMG98,342,2,25C,EMITIDO,2025-11-12 01:24:53
266,BWTPKA,85,2,2A,EMITIDO,2025-10-19 00:24:53
267,8PN694,159,2,25F,CONFIRMADO,2025-11-04 18:24:53
268,7SWDXN,55,2,5F,CONFIRMADO,2025-10-18 19:24:53
269,J6M7X1,326,2,1F,CONFIRMADO,2025-10-27 23:24:53
270,71RXCN,468,2,41D,CONFIRMADO,2025-10-22 09:24:53
271,1TT06O,114,2,18B,CONFIRMADO,2025-10-22 09:24:53
272,YHHE47,146,2,36F,CONFIRMADO,2025-10-21 03:24:53
273,08LRP9,10,2,31C,EMITIDO,2025-10-19 22:24:53
274,M9DRJE,372,2,37D,CONFIRMADO,2025-10-23 06:24:53
275,HLRLX6,160,2,6B,CONFIRMADO,2025-10-22 23:24:53
276,LWCXZY,462,2,18A,CONFIRMADO,2025-11-03 02:24:53
277,E0LSGV,417,2,40E,CONFIRMADO,2025-11-14 01:24:53
278,ML8YR5,421,2,36D,CONFIRMADO,2025-10-29 08:24:53
279,CHV5S3,407,2,17B,EMITIDO,2025-10-30 03:24:53
280,2RQ9ET,280,2,10F,CONFIRMADO,2025-10-18 21:24:53
281,J7P8BH,224,2,23A,CONFIRMADO,2025-11-01 23:24:53
282,BYZ5MB,262,2,39D,EMITIDO,2025-10-17 22:24:53
283,AST2FV,195,2,27B,EMITIDO,2025-10-18 12:24:53
284,JK9BIC,199,2,8D,EMITIDO,2025-10-23 04:24:53
285,R5GB35,441,2,2E,CONFIRMADO,2025-11-04 16:24:53
286,6ELETA,222,2,30E,CONFIRMADO,2025-10-16 14:24:53
287,VPZIJN,52,2,10D,EMITIDO,2025-10-28 16:24:53
288,MZHZKR,188,2,40F,EMITIDO,2025-11-10 19:24:53
289,RXRM8K,457,2,12F,EMITIDO,2025-11-06 18:24:53
290,1X2KJE,93,2,29E,CONFIRMADO,2025-10-26 23:24:53
291,FMTVHC,403,2,28C,EMITIDO,2025-11-02 06:24:53
292,RDOCAG,165,2,31A,CONFIRMADO,2025-10-28 07:24:53
293,MO79F0,142,2,24B,CONFIRMADO,2025-11-07 10:24:53
294,GTB0MP,141,2,22C,CONFIRMADO,2025-10-28 01:24:53
295,MG3NIY,191,2,4B,CONFIRMADO,2025-11-03 20:24:53
296,KL3AN9,127,2,23D,CONFIRMADO,2025-11-01 20:24:53
297,WM4T6G,335,2,27D,CONFIRMADO,2025-10-28 01:24:53
298,5QLSHY,244,2,1A,EMITIDO,2025-10-18 22:24:53
299,SBQNXP,54,2,36E,CONFIRMADO,2025-11-03 10:24:53
300,MZ7THD,463,2,32B,EMITIDO,2025-10-29 20:24:53
301,R6FS17,122,2,31F,CONFIRMADO,2025-10-31 03:24:53
302,Z5KOIB,323,2,5C,EMITIDO,2025-10-20 05:24:53
303,08P4UF,491,2,15B,CONFIRMADO,2025-10-20 09:24:53
304,RDHFUJ,382,2,2F,CONFIRMADO,2025-10-26 13:24:53
305,326N4B,369,2,11F,CONFIRMADO,2025-11-03 10:24:53
306,RR5042,264,2,13B,CONFIRMADO,2025-10-21 01:24:53
307,Z51NH4,390,2,16E,CONFIRMADO,2025-10-30 14:24:53
308,20EWC2,208,2,41E,EMITIDO,2025-10-18 19:24:53
309,SJ7GIS,257,2,11A,CONFIRMADO,2025-11-14 05:24:53
310,1G8VTQ,296,2,9D,CONFIRMADO,2025-11-14 05:24:53
311,ZBGLWB,205,2,33E,CONFIRMADO,2025-10-20 18:24:53
312,VMQRQW,71,2,31B,CONFIRMADO,2025-11-08 21:24:53
313,MCQJ8Y,24,2,29F,EMITIDO,2025-11-11 03:24:53
314,TF6766,386,2,41F,CONFIRMADO,2025-11-05 05:24:53
315,ZCAMJK,344,2,2D,CONFIRMADO,2025-11-04 12:24:53
316,X3Y0SA,226,2,26E,CONFIRMADO,2025-10-21 11:24:53
317,ZZH9T5,91,2,3D,CONFIRMADO,2025-10-17 20:24:53
318,D5BZ9U,163,2,38F,CONFIRMADO,2025-11-01 00:24:53
319,9QHCC4,436,2,15D,EMITIDO,2025-11-06 14:24:53
320,J3IW8J,237,2,39E,EMITIDO,2025-10-17 22:24:53
321,O9WEXB,15,2,18F,CANCELADO,2025-10-30 14:24:53
322,59VR8H,83,2,3A,CONFIRMADO,2025-11-06 20:24:53
323,PMI5YA,129,2,27C,CONFIRMADO,2025-11-02 09:24:53
324,L9YAEG,48,2,7E,EMITIDO,2025-10-27 19:24:53
325,8TASQR,256,2,7F,CONFIRMADO,2025-10-23 19:24:53
326,SFRV5J,424,2,31D,CONFIRMADO,2025-10-21 17:24:53
327,UJDXUX,135,2,2C,CONFIRMADO,2025-10-24 05:24:53
328,YA9SI5,329,2,28E,EMITIDO,2025-11-02 03:24:53
329,8T56K0,454,2,39F,CONFIRMADO,2025-10-28 10:24:53
330,ZRDY2C,209,2,23B,CONFIRMADO,2025-11-08 05:24:53
331,6XEEYT,272,2,19E,CONFIRMADO,2025-11-09 07:24:53
332,IIINGM,170,2,26F,CONFIRMADO,2025-11-10 21:24:53
333,NFX3G2,196,2,21F,CONFIRMADO,2025-11-03 21:24:53
334,VJFY8O,233,2,26D,CANCELADO,2025-10-16 08:24:53
335,UUT7YG,50,2,29B,CONFIRMADO,2025-11-12 20:24:53
336,05I2VC,490,2,38B,EMITIDO,2025-11-07 13:24:53
337,J5N1EF,302,2,31E,CONFIRMADO,2025-10-20 11:24:53
338,3UKDKL,103,2,7B,CANCELADO,2025-11-07 11:24:53
339,03IJM4,431,2,1D,CONFIRMADO,2025-10-17 20:24:53
340,VQGSOA,212,2,18E,CONFIRMADO,2025-11-01 00:24:53
341,NBP1HN,112,2,38E,CONFIRMADO,2025-11-04 00:24:53
342,F2AIFH,214,2,34D,CONFIRMADO,2025-10-26 19:24:53
343,WBUXZG,305,2,8C,EMITIDO,2025-10-29 23:24:53
344,Z1J57L,356,2,4D,EMITIDO,2025-10-22 04:24:53
345,R6FOX6,221,2,29C,CONFIRMADO,2025-11-04 22:24:53
346,PPZ03N,442,2,20B,EMITIDO,2025-10-30 05:24:53
347,1WA5ZU,13,2,15C,EMITIDO,2025-10-24 21:24:53
348,VUIRVY,32,2,32D,EMITIDO,2025-10-24 12:24:53
349,4MX9X5,104,2,8F,CANCELADO,2025-10-28 23:24:53
350,XDH7Z3,274,2,35F,CONFIRMADO,2025-10-28 17:24:53
351,02MDF4,313,2,19F,CONFIRMADO,2025-10-17 11:24:53
352,IICF04,432,2,40C,CONFIRMADO,2025-11-02 10:24:53
353,WYV8P5,43,2,14E,CONFIRMADO,2025-10-28 19:24:53
354,BBHR97,338,2,27A,CONFIRMADO,2025-11-14 03:24:53
355,08428C,179,2,5A,CONFIRMADO,2025-11-08 03:24:53
356,UEK4WK,288,2,33B,EMITIDO,2025-10-23 16:24:53
357,T8KXN4,145,3,29A,CONFIRMADO,2025-11-14 06:24:53
358,Z7NJVP,19,3,1F,CONFIRMADO,2025-11-06 09:24:53
359,GBJ2NY,290,3,1B,CONFIRMADO,2025-11-02 04:24:53
360,0AVS6D,296,3,28C,CONFIRMADO,2025-10-31 09:24:53
361,S85IUG,83,3,5D,CONFIRMADO,2025-10-29 09:24:53
362,XLG7HV,56,3,12D,CONFIRMADO,2025-10-27 18:24:53
363,JUEG14,401,3,15D,CONFIRMADO,2025-11-13 22:24:53
364,AENRQV,431,3,10E,EMITIDO,2025-10-23 23:24:53
365,AGQP45,436,3,17D,CONFIRMADO,2025-11-06 00:24:53
366,BOL1AA,269,3,21A,CANCELADO,2025-10-23 23:24:53
367,ZDEJJ0,116,3,9D,CONFIRMADO,2025-10-29 06:24:53
368,WD6OAN,466,3,13A,EMITIDO,2025-10-29 14:24:53
369,LKD1BF,383,3,14C,CONFIRMADO,2025-10-29 00:24:53
370,67J2E6,492,3,6E,CONFIRMADO,2025-11-11 06:24:53
371,MWH4RV,59,3,17A,CONFIRMADO,2025-10-31 04:24:53
372,AZ049E,108,3,18D,CANCELADO,2025-11-05 23:24:53
373,4UWGLG,482,3,12E,CONFIRMADO,2025-10-16 22:24:53
